,car-id,days,left-park
190,20152106012143-868,0,True
191,20155606025608-621,0,True
192,20152406032402-937,0,True
193,20152506042502-26,0,True
194,20152606062618-786,3,True
195,20154106074104-999,0,True
196,20154506074517-446,3,True
197,20154606074616-822,0,True
198,20155106075153-120,0,True
199,20155006085003-110,0,True
200,20150506090520-357,0,True
201,20154106094124-665,0,True
202,20155006095026-111,0,True
203,20155106095135-527,0,True
204,20151606101600-597,0,True
205,20151806101842-841,0,True
206,20153006113031-795,0,True
207,20154006114047-586,0,True
208,20153206123228-826,0,True
209,20154406124402-983,0,True
210,20150206010230-163,0,True
211,20153806013838-97,0,True
212,20153906013912-384,21,True
213,20154706014752-824,0,True
214,20152106022153-516,0,True
215,20155806025837-218,0,True
216,20150006030021-893,0,True
217,20150706030713-770,0,True
218,20151006031050-832,7,True
219,20151406031406-139,0,True
220,20152206042215-304,0,True
221,20153606043644-52,0,True
222,20155306045344-471,0,True
223,20155506045548-864,0,True
224,20152606052635-272,0,True
225,20154506054512-623,0,True
226,20152006062054-938,0,True
227,20151006071004-39,0,True
228,20154106084128-953,0,True
229,20155206105236-868,0,True
230,20152307032352-90,0,True
231,20150307040337-388,0,True
232,20154007054004-20,0,True
233,20152507062510-527,0,True
234,20151907071951-454,0,True
235,20151607081638-405,0,True
236,20152807082801-714,1,True
237,20154407084406-55,4,True
238,20151107091117-166,0,True
239,20150107100101-687,0,True
240,20151107101114-603,0,True
241,20151507101514-517,0,True
242,20152907102943-591,0,True
243,20153707103738-243,0,True
244,20154707104714-7,5,True
245,20154807104818-336,1,True
246,20150907110929-382,0,True
247,20151107111143-376,0,True
248,20151807111855-648,4,True
249,20152907112958-34,0,True
250,20152607012617-339,0,True
251,20153507023544-222,2,True
252,20152307032323-592,0,True
253,20155007035002-321,0,True
254,20150207040220-935,0,True
255,20151807041812-701,4,True
256,20152007042003-474,0,True
257,20150207050247-410,5,True
258,20150907050946-464,0,True
259,20151507051530-305,5,True
260,20150007060003-154,0,True
261,20151007061047-838,0,True
262,20153507063538-340,0,True
263,20153907063956-520,0,True
264,20151007071043-113,0,True
265,20153307083303-133,0,True
266,20154107094120-553,0,True
267,20152007102054-496,0,True
268,20150008010008-348,0,True
269,20150708010747-474,0,True
270,20154108014111-723,0,True
271,20151308021340-431,0,True
272,20152308022352-388,0,True
273,20152608022645-733,0,True
274,20152708042738-355,0,True
275,20154808044818-373,0,True
276,20151608051630-185,0,True
277,20155108055113-217,0,True
278,20150908060913-42,0,True
279,20151008061036-397,0,True
280,20151408061423-887,0,True
281,20152208062246-552,0,True
282,20153808063835-434,0,True
283,20155208065252-159,0,True
284,20155308075334-739,2,True
285,20155808075820-882,0,True
286,20151308081312-606,3,True
287,20152608082640-6,1,True
288,20155508085530-44,0,True
289,20155908085904-135,0,True
290,20152208092238-312,0,True
291,20154308094328-663,0,True
292,20155608095633-284,6,True
293,20155708095746-227,0,True
294,20153008103024-792,3,True
295,20152808112822-341,0,True
296,20153308113328-678,0,True
297,20154008114008-610,1,True
298,20154908114938-83,2,True
299,20153108123136-918,0,True
300,20152708012754-464,3,True
301,20152908012941-964,1,True
302,20152008022034-837,0,True
303,20155008025038-252,0,True
304,20152808032805-306,0,True
305,20150608040651-249,10,True
306,20150908040921-563,0,True
307,20152008052017-725,0,True
308,20153108053146-433,1,True
309,20153408073457-999,0,True
310,20155608075604-962,0,True
311,20150008080010-6,0,True
312,20152008082026-609,0,True
313,20152308092357-115,0,True
314,20152508092529-564,0,True
315,20155708095706-36,0,True
316,20150108100148-571,0,True
317,20154308114314-130,0,True
318,20150309010312-403,0,True
319,20154509024518-62,0,True
320,20150209030226-601,0,True
321,20150709030753-123,0,True
322,20151009031056-749,0,True
323,20151309031329-895,0,True
324,20152709032721-99,0,True
325,20150209040222-611,0,True
326,20150309050339-817,0,True
327,20151009061018-73,0,True
328,20154709074707-134,0,True
329,20155609075614-26,0,True
330,20150309080352-837,3,True
331,20151809081807-728,0,True
332,20152009082046-820,2,True
333,20152809082828-889,0,True
334,20155909085910-596,25,True
335,20151709091702-944,8,True
336,20153809093819-671,0,True
337,20150309100312-290,2,True
338,20155709105754-104,0,True
339,20153109123109-53,1,True
340,20155509125554-329,1,True
341,20155809125852-460,4,True
342,20152209012245-920,3,True
343,20150109020146-55,0,True
344,20151909021950-190,0,True
345,20152709022719-478,0,True
346,20154109034123-194,0,True
347,20152309042350-396,1,True
348,20155909045908-663,0,True
349,20150409050412-493,1,True
350,20155009055024-626,4,True
351,20151609061625-849,0,True
352,20153909063900-406,0,True
353,20151709071708-623,0,True
354,20152409072455-322,0,True
355,20150909080919-967,0,True
356,20152110122153-299,0,True
357,20152610022639-223,0,True
358,20152610022654-88,0,True
359,20153210023203-833,0,True
360,20153710023742-746,0,True
361,20153810033802-347,0,True
362,20150610040641-716,0,True
363,20151510051515-843,0,True
364,20154910054906-343,0,True
365,20150310060307-190,0,True
366,20154510064550-279,2,True
367,20155910065938-444,1,True
368,20151010071016-369,0,True
369,20151810071802-340,3,True
370,20151810071816-403,0,True
371,20150910080953-624,2,True
372,20151910081922-106,0,True
373,20150210090226-728,0,True
374,20153010103013-306,1,True
375,20155210105207-288,0,True
376,20150410110411-548,2,True
377,20152210112213-643,0,True
378,20155010115003-484,0,True
379,20155410115436-216,0,True
380,20153610123613-496,0,True
381,20154410124411-337,2,True
382,20155610125617-623,0,True
383,20154310014313-489,0,True
384,20154610014606-666,0,True
385,20153410023431-149,1,True
386,20154910044953-135,0,True
387,20150110050107-785,0,True
388,20152410052429-714,0,True
389,20154010054018-304,0,True
390,20150610080607-654,0,True
391,20151310091305-997,0,True
392,20152710092718-59,0,True
393,20150110100128-45,0,True
394,20153210103235-776,0,True
395,20155010105008-953,0,True
396,20153510113536-637,0,True
397,20151511021500-100,0,True
398,20152011022004-669,0,True
399,20154111044139-392,0,True
400,20153111053120-55,0,True
401,20150911060943-442,0,True
402,20150911060947-468,3,True
403,20150911060951-66,0,True
404,20154011064035-593,0,True
405,20155111065136-856,0,True
406,20155811065818-614,0,True
407,20150111070138-888,0,True
408,20151811071822-531,0,True
409,20155911075946-694,2,True
410,20153711083756-161,0,True
411,20154911084948-971,1,True
412,20153311093300-612,4,True
413,20155411105423-23,1,True
414,20152411112400-77,0,True
415,20152411112403-168,12,True
416,20154011114039-253,11,True
417,20152511122549-56,0,True
418,20154611014629-696,0,True
419,20154811014801-200,0,True
420,20155311015300-19,0,True
421,20150711020710-628,0,True
422,20150211030247-915,0,True
423,20150611030606-430,0,True
424,20152011032039-149,2,True
425,20151111041149-456,0,True
426,20155911045907-487,0,True
427,20152011052058-197,0,True
428,20154211054209-984,4,True
429,20152311062307-732,0,True
430,20151911071935-373,0,True
431,20150111080117-6,0,True
432,20151611081647-123,0,True
433,20150211090217-8,0,True
434,20154611104620-774,0,True
435,20152011112059-543,0,True
436,20151612121615-643,0,True
437,20152812012846-131,0,True
438,20152912012942-33,0,True
439,20151112031115-285,0,True
440,20151912031911-728,0,True
441,20154912034901-567,0,True
442,20155212035238-957,0,True
443,20150512040536-561,0,True
444,20153212043209-241,0,True
445,20154412044422-275,0,True
446,20155512045541-545,0,True
447,20155212055201-823,0,True
448,20151212061227-505,0,True
449,20151612061633-319,0,True
450,20151412071422-498,3,True
451,20154312074332-201,0,True
452,20155312075311-671,0,True
453,20152212092229-313,0,True
454,20153012093056-795,0,True
455,20153512093515-115,0,True
456,20153012103014-90,0,True
457,20153912113932-996,1,True
458,20150412120454-71,1,True
459,20151812011836-943,3,True
460,20152712012750-549,6,True
461,20153712013718-885,0,True
462,20154612024611-181,0,True
463,20153012033056-967,0,True
464,20155812035804-861,6,True
465,20155812035827-157,0,True
466,20151312041350-13,2,True
467,20151612041658-450,0,True
468,20155012045013-236,0,True
469,20151112051139-269,1,True
470,20151312051315-26,1,True
471,20151412051445-249,0,True
472,20153212053251-318,0,True
473,20154612054651-827,8,True
474,20155612055615-47,5,True
475,20151112101120-762,0,True
476,20152312102355-589,0,True
477,20150312110359-70,0,True
478,20154513124521-814,0,True
479,20155013125038-270,0,True
480,20151113011105-825,0,True
481,20152013012002-670,0,True
482,20153913013945-531,0,True
483,20155013025028-739,0,True
484,20154713044705-563,0,True
485,20153113053106-820,0,True
486,20154013054046-187,0,True
487,20150513060520-897,0,True
488,20151813061849-608,0,True
489,20155313065344-641,1,True
490,20151313071329-807,0,True
491,20154313074351-635,0,True
492,20154913074959-518,0,True
493,20152413082458-639,0,True
494,20152813082845-836,1,True
495,20155413085400-638,0,True
496,20152913102946-563,0,True
497,20151613111653-93,5,True
498,20155113115142-894,0,True
499,20151313121350-300,0,True
500,20152113012118-334,0,True
501,20154913014902-715,5,True
502,20150613020647-968,0,True
503,20151413021421-999,0,True
504,20151513021550-110,0,True
505,20151613021630-650,0,True
506,20153713023759-301,0,True
507,20151613031640-694,4,True
508,20155913035913-863,0,True
509,20153013043036-968,0,True
510,20154813044837-90,0,True
511,20150313050304-212,0,True
512,20150413050443-129,3,True
513,20154713054724-651,0,True
514,20151613071616-304,0,True
515,20153713073746-513,0,True
516,20153213083212-905,0,True
517,20150013090015-853,0,True
518,20152513092510-289,0,True
519,20151413101434-985,0,True
520,20151413111430-32,0,True
521,20155714025716-854,0,True
522,20151014031005-384,0,True
523,20151314031357-714,0,True
524,20151714031721-948,0,True
525,20154714034743-22,0,True
526,20154014044002-961,0,True
527,20154214054203-453,0,True
528,20150214060220-382,0,True
529,20152114062127-937,0,True
530,20151414071421-391,0,True
531,20152414072427-544,0,True
532,20153814083837-684,0,True
533,20153114093106-881,2,True
534,20153514093535-484,5,True
535,20154114094138-630,0,True
536,20155214095239-156,0,True
537,20155314095334-971,0,True
538,20150514100502-324,0,True
539,20150914100951-759,0,True
540,20154214104218-27,0,True
541,20153314113313-788,0,True
542,20154314114311-549,3,True
543,20151814121800-358,0,True
544,20154414124412-684,5,True
545,20154514124545-947,5,True
546,20154814124836-965,0,True
547,20150114010112-608,0,True
548,20151614011644-131,0,True
549,20151814011859-734,0,True
550,20153914013948-961,0,True
551,20154914014926-653,0,True
552,20155414015450-986,0,True
553,20153014023000-132,0,True
554,20153514023557-288,0,True
555,20151514031521-506,0,True
556,20155814035817-335,0,True
557,20155414045435-904,0,True
558,20152114052147-25,2,True
559,20154914054916-103,0,True
560,20155914055929-631,0,True
561,20151814071827-411,0,True
562,20152514072513-701,0,True
563,20151214081239-359,0,True
564,20150614110611-249,0,True
565,20151814111839-294,0,True
566,20152914112921-623,0,True
567,20154214114255-788,0,True
568,20155114115112-703,0,True
569,20152515122543-890,0,True
570,20154015124012-13,0,True
571,20151815011803-120,0,True
572,20152815022831-831,0,True
573,20155815025830-136,0,True
574,20151615031620-662,0,True
575,20152115052144-891,0,True
576,20150815060820-3,0,True
577,20151015061023-821,5,True
578,20151215071240-346,0,True
579,20152615072606-62,1,True
580,20153215073237-222,2,True
581,20154215074223-266,1,True
582,20150415080437-148,0,True
583,20151215081216-371,0,True
584,20154015084042-590,0,True
585,20154015084059-867,0,True
586,20150115090150-109,1,True
587,20151415091432-219,1,True
588,20153315093319-548,0,True
589,20150315100304-407,0,True
590,20151915101951-61,0,True
591,20153615103638-158,3,True
592,20154315104341-875,0,True
593,20155415105428-961,0,True
594,20151415111423-26,0,True
595,20153415113407-427,0,True
596,20155115115153-800,0,True
597,20155815125820-398,7,True
598,20150115010107-702,0,True
599,20154215014241-33,0,True
600,20151215021238-599,0,True
601,20151415021431-833,0,True
602,20152815032843-542,9,True
603,20151415041403-291,0,True
604,20152515042526-374,0,True
605,20152015052049-423,0,True
606,20154315054322-3,0,True
607,20154915054928-622,0,True
608,20155115055136-775,5,True
609,20151915061937-761,0,True
610,20150315070348-862,0,True
611,20154515084557-683,0,True
612,20150915100950-869,0,True
613,20150315110302-350,0,True
614,20155815115803-87,0,True
615,20153716123736-670,0,True
616,20153816013852-363,0,True
617,20154216034241-337,0,True
618,20153516043535-625,0,True
619,20155816045845-680,0,True
620,20150316060340-469,0,True
621,20151516071503-790,0,True
622,20153116073107-991,0,True
623,20153516073525-764,0,True
624,20154916074958-56,0,True
625,20155716075743-384,0,True
626,20154916084939-496,0,True
627,20152016092004-862,3,True
628,20152216092258-194,0,True
629,20152716092742-820,0,True
630,20155016105014-878,3,True
631,20155816105800-405,0,True
632,20150416110405-287,0,True
633,20151216111200-357,0,True
634,20154116114152-553,0,True
635,20150016120045-845,0,True
636,20150516120527-450,1,True
637,20150916010943-697,0,True
638,20153616013639-745,0,True
639,20153816013824-587,0,True
640,20155516015501-914,1,True
641,20150916020906-378,0,True
642,20152616022624-356,0,True
643,20152916022942-353,0,True
644,20153316033329-899,2,True
645,20153416033407-294,0,True
646,20153716033755-459,0,True
647,20155116035104-470,0,True
648,20150416040445-103,2,True
649,20155616045609-154,0,True
650,20152816052835-878,1,True
651,20154316054307-980,0,True
652,20155816065809-769,0,True
653,20152516072546-954,0,True
654,20155816075858-621,0,True
655,20155016095009-865,0,True
656,20151616111617-168,0,True
657,20152817022802-947,0,True
658,20150017050047-192,0,True
659,20155117055136-845,0,True
660,20153417063420-566,0,True
661,20153417063456-447,1,True
662,20154417064427-657,0,True
663,20155417065430-542,5,True
664,20155417065446-3,1,True
665,20151617071647-820,3,True
666,20152917072906-13,6,True
667,20154417074427-897,0,True
668,20154317084350-24,0,True
669,20150617090658-734,2,True
670,20151017091042-992,1,True
671,20153217093212-471,0,True
672,20155517095500-40,2,True
673,20150817100809-138,1,True
674,20151617101635-486,0,True
675,20151717101752-508,2,True
676,20153217113237-195,0,True
677,20155917115921-698,0,True
678,20153717123705-260,0,True
679,20150117010157-104,2,True
680,20150317010343-76,1,True
681,20152017012005-964,0,True
682,20152817012849-833,0,True
683,20154117014151-49,0,True
684,20151817021828-403,0,True
685,20152917022909-902,0,True
686,20153217023229-148,0,True
687,20153817023856-742,0,True
688,20151217031205-749,0,True
689,20155517035538-277,3,True
690,20152017042002-599,0,True
691,20155717055748-249,0,True
692,20150017060051-822,0,True
693,20151917061916-418,0,True
694,20150717070703-885,0,True
695,20152017072059-593,0,True
696,20152417072435-96,0,True
697,20152117082147-620,0,True
698,20152717092705-306,0,True
699,20153317093335-696,0,True
700,20150218120204-473,0,True
701,20151518121553-489,0,True
702,20154718024720-506,0,True
703,20150018030025-615,0,True
704,20155418035427-895,0,True
705,20155718035719-296,0,True
706,20150118040142-85,0,True
707,20155318045307-395,0,True
708,20152918052934-920,0,True
709,20155318055356-801,0,True
710,20154518064502-358,0,True
711,20155318065323-808,0,True
712,20152918072959-170,0,True
713,20153218073239-628,0,True
714,20153618073639-900,2,True
715,20154118084103-860,0,True
716,20150518110556-202,0,True
717,20150718110745-403,0,True
718,20152118112126-133,0,True
719,20154518114515-804,0,True
720,20154918114925-947,0,True
721,20151318121304-995,0,True
722,20154018124023-509,0,True
723,20155818125809-674,0,True
724,20150818010852-458,1,True
725,20155418025400-514,0,True
726,20155718025735-7,0,True
727,20155418035409-213,0,True
728,20152018052046-592,1,True
729,20154118074141-911,0,True
730,20150218080228-384,0,True
731,20154918094950-334,0,True
732,20155018095034-789,0,True
733,20150118100127-966,0,True
734,20154818104840-722,0,True
735,20155219125211-610,0,True
736,20155419125407-749,0,True
737,20151319011338-241,0,True
738,20150419020408-913,0,True
739,20154119024134-170,0,True
740,20152519042555-47,0,True
741,20152119062142-398,0,True
742,20150419070451-672,0,True
743,20152119072139-838,0,True
744,20152019082054-582,6,True
745,20151619091605-574,0,True
746,20152919092946-526,11,True
747,20153119093102-397,0,True
748,20151319101335-59,1,True
749,20153519103544-665,0,True
750,20153919103944-791,0,True
751,20155219105223-621,0,True
752,20150419110442-824,1,True
753,20155119115106-194,0,True
754,20155919115923-739,0,True
755,20152219122244-561,0,True
756,20154619124648-54,0,True
757,20153919013932-905,0,True
758,20155319015328-845,0,True
759,20151019021032-845,0,True
760,20153719023744-10,4,True
761,20155719035725-878,2,True
762,20150219040245-828,0,True
763,20154719044736-610,0,True
764,20150719050740-812,8,True
765,20155119055145-309,0,True
766,20155519055512-566,0,True
767,20152319062326-778,0,True
768,20150419070416-758,0,True
769,20151719081739-523,0,True
770,20154619084642-464,0,True
771,20151019111046-645,0,True
772,20151619111615-309,0,True
773,20151719111714-100,0,True
774,20153519113505-557,0,True
775,20153420013420-456,0,True
776,20153320023340-593,0,True
777,20153520023501-293,0,True
778,20151220031238-653,0,True
779,20155020035014-198,0,True
780,20152220062208-128,0,True
781,20151920071917-939,0,True
782,20152620072611-980,0,True
783,20153620073655-119,3,True
784,20150820080854-186,5,True
785,20154820084851-636,1,True
786,20155520085531-173,0,True
787,20152120092115-393,0,True
788,20152720092750-958,0,True
789,20152920092920-965,0,True
790,20154820094833-789,1,True
791,20154520104544-696,0,True
792,20153120113117-670,5,True
793,20155720115754-988,0,True
794,20150220120207-682,0,True
795,20151420121410-632,0,True
796,20153120123142-840,0,True
797,20155320125343-802,0,True
798,20151120021127-21,0,True
799,20153220023202-660,0,True
800,20154620024622-348,5,True
801,20150020030052-644,0,True
802,20152120032144-608,4,True
803,20153820033837-589,0,True
804,20155020035009-541,7,True
805,20155520035557-954,6,True
806,20150920050941-93,0,True
807,20154120054152-653,0,True
808,20155020055005-112,0,True
809,20151020081055-387,0,True
810,20151420081404-970,0,True
811,20151620081616-194,0,True
812,20154120104143-547,0,True
813,20150121120122-416,0,True
814,20153121123155-556,0,True
815,20154221124230-401,0,True
816,20150821010853-587,0,True
817,20151521021518-235,0,True
818,20155921025909-417,0,True
819,20154221034210-218,0,True
820,20150621060618-266,2,True
821,20151121061101-398,0,True
822,20152021062015-573,0,True
823,20155021065012-863,0,True
824,20151321071310-542,0,True
825,20151021081056-343,0,True
826,20152621082611-901,0,True
827,20153421083416-459,0,True
828,20154321084329-326,2,True
829,20155221085210-381,3,True
830,20155421085451-765,0,True
831,20150321090310-782,0,True
832,20150821090834-726,3,True
833,20151121091142-55,3,True
834,20152721092721-707,0,True
835,20152821092859-995,0,True
836,20155821095827-669,0,True
837,20150821100818-35,0,True
838,20154921104938-325,0,True
839,20151521111559-556,2,True
840,20154721114700-733,0,True
841,20150521120539-683,0,True
842,20152221122225-86,0,True
843,20155821125843-445,0,True
844,20151521011559-569,3,True
845,20153621013605-948,0,True
846,20153821013858-962,0,True
847,20151621021621-233,0,True
848,20153021023035-120,0,True
849,20153221023244-436,0,True
850,20152421032440-973,1,True
851,20151121041130-372,0,True
852,20151621041638-653,0,True
853,20151921041950-16,0,True
854,20150121050143-645,0,True
855,20153721053713-825,0,True
856,20155121055133-479,0,True
857,20155221055211-397,0,True
858,20153421083449-867,0,True
859,20152021102031-370,0,True
860,20154121114124-273,0,True
861,20153522013550-778,0,True
862,20150522030529-2,0,True
863,20151122041139-836,0,True
864,20150122060151-905,0,True
865,20150122060153-192,0,True
866,20154222064254-555,4,True
867,20153322083304-101,0,True
868,20153922083950-986,0,True
869,20153622093615-832,0,True
870,20154822094857-448,13,True
871,20154922094931-619,0,True
872,20151822101852-375,5,True
873,20152222102227-126,0,True
874,20152322102328-907,0,True
875,20153322103306-803,0,True
876,20150722110719-792,1,True
877,20153422113416-107,5,True
878,20153622113653-407,2,True
879,20155522115542-589,0,True
880,20150022120004-986,0,True
881,20153222123239-923,0,True
882,20153622123619-566,0,True
883,20154222124252-449,0,True
884,20155322125316-320,0,True
885,20155422015444-143,1,True
886,20151922021917-221,0,True
887,20155222025248-836,4,True
888,20155922025905-519,7,True
889,20151422031406-22,5,True
890,20152022032029-340,1,True
891,20152122032147-219,0,True
892,20153822033829-145,0,True
893,20155522035520-589,0,True
894,20155622035604-568,2,True
895,20151022041004-148,2,True
896,20151522041555-163,0,True
897,20152622042630-66,0,True
898,20151122051127-509,0,True
899,20151222061256-162,0,True
900,20151922061928-554,0,True
901,20152922092937-632,0,True
902,20155823125851-5,0,True
903,20155323015347-523,0,True
904,20151923021930-519,0,True
905,20155223025223-42,0,True
906,20150723030737-792,0,True
907,20150723030749-303,0,True
908,20155423035426-963,0,True
909,20150923040918-760,0,True
910,20152323042339-40,0,True
911,20150923050917-917,0,True
912,20155623055607-516,0,True
913,20150623060616-357,0,True
914,20152423062407-315,0,True
915,20154823064844-637,2,True
916,20155023065015-612,1,True
917,20150323070338-324,0,True
918,20150823070821-824,5,True
919,20151823071817-774,0,True
920,20155623075644-293,0,True
921,20152423082429-73,2,True
922,20152923082949-398,2,True
923,20154023084059-267,1,True
924,20152623092639-730,2,True
925,20154323094300-114,0,True
926,20152123112158-667,0,True
927,20154023114025-400,0,True
928,20154323114321-363,0,True
929,20154423124442-224,7,True
930,20152923012904-916,8,True
931,20150123020103-717,6,True
932,20151123021124-160,0,True
933,20151923021929-242,0,True
934,20152223022255-149,0,True
935,20153823023800-335,0,True
936,20151623031635-474,0,True
937,20152323032339-44,2,True
938,20153023033057-365,1,True
939,20153123033149-311,0,True
940,20152523042522-538,1,True
941,20152823042801-343,7,True
942,20151323091321-552,0,True
943,20151523101503-652,0,True
944,20154923114938-391,0,True
945,20153824123805-820,0,True
946,20153924023920-320,0,True
947,20154724024734-116,0,True
948,20151224031247-625,0,True
949,20151924031939-418,0,True
950,20151124041131-688,0,True
951,20152624042644-559,0,True
952,20153724043708-660,0,True
953,20155424045454-66,0,True
954,20151924061922-35,2,True
955,20153924063948-428,0,True
956,20154224064222-83,0,True
957,20154224064246-493,0,True
958,20150124080152-145,3,True
959,20150324080316-784,2,True
960,20150624080656-470,10,True
961,20152824082822-470,0,True
962,20154724084739-245,0,True
963,20154824084859-212,0,True
964,20151024091047-753,0,True
965,20152724102747-37,0,True
966,20152924102954-975,12,True
967,20154824104802-646,4,True
968,20154424114431-782,0,True
969,20155024115021-588,0,True
970,20155824115842-88,3,True
971,20150024120054-586,0,True
972,20151624121637-939,0,True
973,20152724122720-418,0,True
974,20153024123002-663,0,True
975,20154424124420-192,0,True
976,20155724015714-289,0,True
977,20153724023746-464,0,True
978,20155724025730-431,5,True
979,20151324031316-217,1,True
980,20152924032915-517,3,True
981,20151124041119-151,0,True
982,20153024043021-679,2,True
983,20153024043032-864,0,True
984,20153324043332-415,0,True
985,20153624053656-871,0,True
986,20153624083625-903,0,True
987,20150325020355-94,0,True
988,20152425022404-621,0,True
989,20152625032611-756,0,True
990,20150525040549-978,0,True
991,20153425043407-967,0,True
992,20150225050254-301,0,True
993,20152425052447-406,0,True
994,20151425061414-287,0,True
995,20154225064221-390,0,True
996,20152725072720-764,0,True
997,20155125075128-608,0,True
